STATEFP,COUNTYFP,order
72,085,1
31,109,2
47,065,3
25,025,4
31,043,5
13,063,6
13,089,7
51,510,8
12,011,9
01,097,10
08,059,11
25,027,12
08,101,13
49,011,14
08,031,15
11,001,16
02,020,17
17,031,18
51,760,19
04,013,20
51,770,21
51,550,22
47,163,23
31,055,24
51,087,25
08,001,26
49,035,27
02,090,28
51,013,29
23,031,30
40,109,31
49,043,32
51,740,33
08,123,34
08,069,35
02,170,36
47,093,37
53,033,38
13,121,39
51,710,40
09,005,41
47,157,42
23,005,43
47,037,44
49,049,45
40,143,46
25,009,47
08,035,48
49,037,49
08,041,50
49,051,51
08,077,52
51,107,53
01,073,54
47,113,55
08,005,56
54,039,57
23,003,58
53,053,59
49,045,60
51,650,61
51,810,62
37,187,63
37,049,64
37,183,65
37,019,66
37,165,67
37,157,68
37,109,69
37,189,70
37,149,71
37,039,72
45,027,73
45,049,74
45,071,75
45,059,76
13,039,77
13,165,78
13,025,79
13,027,80
13,253,81
13,215,82
13,309,83
13,199,84
13,289,85
13,195,86
13,291,87
13,247,88
13,067,89
13,111,90
13,223,91
47,073,92
47,063,93
47,121,94
47,015,95
47,055,96
47,187,97
47,017,98
47,109,99
12,086,100
12,093,101
12,027,102
12,055,103
12,101,104
12,097,105
12,003,106
12,069,107
12,077,108
12,131,109
01,109,110
01,003,111
01,021,112
01,047,113
01,123,114
01,019,115
01,063,116
01,077,117
01,079,118
28,131,119
28,111,120
28,157,121
28,023,122
28,127,123
28,159,124
28,051,125
28,117,126
28,143,127
22,087,128
22,063,129
22,007,130
22,077,131
22,097,132
22,011,133
22,009,134
22,017,135
22,035,136
48,355,137
48,137,138
48,089,139
48,361,140
48,333,141
48,141,142
48,435,143
48,079,144
48,429,145
48,367,146
48,223,147
40,093,148
40,115,149
40,141,150
40,021,151
40,089,152
40,017,153
05,047,154
05,147,155
05,085,156
05,081,157
05,025,158
51,131,159
51,093,160
51,595,161
51,117,162
51,143,163
51,141,164
51,121,165
51,077,166
51,169,167
51,027,168
51,775,169
51,680,170
51,049,171
51,145,172
51,127,173
51,700,174
51,115,175
51,177,176
51,047,177
51,109,178
51,015,179
51,069,180
51,683,181
51,600,182
24,017,183
24,029,184
24,510,185
24,033,186
24,023,187
54,037,188
54,021,189
54,063,190
54,005,191
54,105,192
54,095,193
54,033,194
10,001,195
42,031,196
42,005,197
42,009,198
42,105,199
42,127,200
42,071,201
21,207,202
21,047,203
21,027,204
21,191,205
36,003,206
36,023,207
36,057,208
36,047,209
23,001,210
23,015,211
23,011,212
23,019,213
23,009,214
39,055,215
39,073,216
39,041,217
39,077,218
39,109,219
26,071,220
26,137,221
26,067,222
26,015,223
26,135,224
26,147,225
26,163,226
26,037,227
18,111,228
18,039,229
18,003,230
18,015,231
18,063,232
18,075,233
18,167,234
18,071,235
18,137,236
18,025,237
17,063,238
17,037,239
17,125,240
17,041,241
17,083,242
17,065,243
55,137,244
55,055,245
55,065,246
55,007,247
55,005,248
27,075,249
27,007,250
27,155,251
27,021,252
27,139,253
27,131,254
27,085,255
27,083,256
19,099,257
19,023,258
19,147,259
19,029,260
19,125,261
19,097,262
35,025,263
35,053,264
35,043,265
35,055,266
08,121,267
08,063,268
08,025,269
08,079,270
08,083,271
08,051,272
08,103,273
08,049,274
08,043,275
08,014,276
08,047,277
46,071,278
46,119,279
46,101,280
46,023,281
31,105,282
31,003,283
31,173,284
31,039,285
31,011,286
31,155,287
31,025,288
31,147,289
31,095,290
31,143,291
31,129,292
31,083,293
31,135,294
31,005,295
31,163,296
31,121,297
20,195,298
20,055,299
20,105,300
20,079,301
20,131,302
20,205,303
49,033,304
49,057,305
49,055,306
49,025,307
49,007,308
49,047,309
16,021,310
16,057,311
16,027,312
16,039,313
16,047,314
16,007,315
16,043,316
53,073,317
53,009,318
53,041,319
53,069,320
53,007,321
53,039,322
53,063,323
41,067,324
41,071,325
41,019,326
41,033,327
41,055,328
41,035,329
41,059,330
30,071,331
30,101,332
30,097,333
30,093,334
30,081,335
02,261,336
02,195,337
02,016,338
15,009,339
44,003,340
29,047,341
29,205,342
29,510,343
29,057,344
29,181,345
29,027,346
29,067,347
29,061,348
29,105,349
38,023,350
38,009,351
38,027,352
38,067,353
38,097,354
38,021,355
38,065,356
38,089,357
04,012,358
04,001,359
04,007,360
04,003,361
09,013,362
09,011,363
09,009,364
50,007,365
33,019,366
25,003,367
25,021,368
25,005,369
56,043,370
56,045,371
56,021,372
56,025,373
56,039,374
34,041,375
34,029,376
34,001,377
32,021,378
32,013,379
32,007,380
32,017,381
06,023,382
06,035,383
06,103,384
06,095,385
06,003,386
06,043,387
06,053,388
06,059,389
06,065,390
